,FP1,AF3,F7,F3,F4,F8,AF4,FP2,T7,T8,P7,P8,P3,P4
FP1,1.0,0.3107243006698355,0.10268114008209885,0.4176680488516057,0.5138782722842843,0.10252020905327122,0.04641946796706928,0.030540335518678213,0.343284214464322,0.16499837951786406,0.10893884405290524,0.2389697690923987,0.08555704096128171,0.16094969496748057
AF3,0.3107243006698355,1.0,0.11152385331304343,0.2542619116998721,0.2732825708005205,0.28144672447474417,0.4548551432258207,0.26592569856448656,0.16498469830399506,0.03680491417547016,0.188841106731272,0.029329401407443945,0.32546852351318156,0.008376701031672457
F7,0.10268114008209885,0.11152385331304343,1.0,0.2293455919284898,0.18074396083767796,0.1710883294458462,0.07231336176933123,0.03484609730329477,0.3149597299341024,0.23855461060265054,0.033464017072372176,0.19162158451804523,0.13169185065921932,0.28192436586695385
F3,0.4176680488516057,0.2542619116998721,0.2293455919284898,1.0,0.46279439378795545,0.002338971501140187,0.5194277172548033,0.21872325545370508,0.15489250092697152,0.11775708315302055,0.21177171292203006,0.3381724520916114,0.11031273345585882,0.02921498234424308
F4,0.5138782722842843,0.2732825708005205,0.18074396083767796,0.46279439378795545,1.0,0.04582306229177403,0.3035035099071386,0.20993468159991457,0.3928698507395936,0.31786320511265975,0.025489509724554563,0.21724545063055117,0.26444977545614795,0.18996885237843908
F8,0.10252020905327122,0.28144672447474417,0.1710883294458462,0.002338971501140187,0.04582306229177403,1.0,0.3547499118572943,0.12332474269702332,0.44887267891770144,0.3130311583680075,0.2849603016255509,0.21837578144192807,0.278433492002867,0.05017301785381009
AF4,0.04641946796706928,0.4548551432258207,0.07231336176933123,0.5194277172548033,0.3035035099071386,0.3547499118572943,0.9999999999999997,0.2226706804602648,0.394832307199842,0.07019758178790911,0.15007405923092598,0.011146408698823253,0.09670545825599511,0.2292317343046221
FP2,0.030540335518678213,0.26592569856448656,0.03484609730329477,0.21872325545370508,0.20993468159991457,0.12332474269702332,0.2226706804602648,0.9999999999999999,0.07245773840616623,0.2634339528992012,0.5210161419173949,0.14934841133586263,0.1056574214016539,0.12834691607278548
T7,0.343284214464322,0.16498469830399506,0.3149597299341024,0.15489250092697152,0.3928698507395936,0.44887267891770144,0.394832307199842,0.07245773840616623,0.9999999999999999,0.12085264804704723,0.06146496478333123,0.03784614091270472,0.13412089542810018,0.0409261452568495
T8,0.16499837951786406,0.03680491417547016,0.23855461060265054,0.11775708315302055,0.31786320511265975,0.3130311583680075,0.07019758178790911,0.2634339528992012,0.12085264804704723,1.0,0.26046123197050425,0.4181857916816037,0.37833857879646987,0.20928298731239756
P7,0.10893884405290524,0.188841106731272,0.033464017072372176,0.21177171292203006,0.025489509724554563,0.2849603016255509,0.15007405923092598,0.5210161419173949,0.06146496478333123,0.26046123197050425,1.0,0.013604703082973,0.13667781280468672,0.21357757528970844
P8,0.2389697690923987,0.029329401407443945,0.19162158451804523,0.3381724520916114,0.21724545063055117,0.21837578144192807,0.011146408698823253,0.14934841133586263,0.03784614091270472,0.4181857916816037,0.013604703082973,1.0,0.299273479866364,0.5775164944072255
P3,0.08555704096128171,0.32546852351318156,0.13169185065921932,0.11031273345585882,0.26444977545614795,0.278433492002867,0.09670545825599511,0.1056574214016539,0.13412089542810018,0.37833857879646987,0.13667781280468672,0.299273479866364,1.0,0.09063624323904096
P4,0.16094969496748057,0.008376701031672457,0.28192436586695385,0.02921498234424308,0.18996885237843908,0.05017301785381009,0.2292317343046221,0.12834691607278548,0.0409261452568495,0.20928298731239756,0.21357757528970844,0.5775164944072255,0.09063624323904096,1.0
