,FP1,AF3,F7,F3,F4,F8,AF4,FP2,T7,T8,P7,P8,P3,P4
FP1,0.9999999999999998,0.8797683777587053,0.6992620329747063,0.8590979148059635,0.3783086709724041,0.2622164707650749,0.7468529928041943,0.8038931295222043,0.21160329819426893,0.2682628838949292,0.3326958447388353,0.25234799879592706,0.2018378218677221,0.5956522719679163
AF3,0.8797683777587053,0.9999999999999998,0.6437869478876652,0.8144037227493064,0.12257500120741291,0.15664317501000047,0.4230356821621696,0.6101173122232787,0.3351030474486456,0.4349908513384776,0.4373142247867965,0.2691299357847216,0.2612448251808325,0.5256461570282698
F7,0.6992620329747063,0.6437869478876652,1.0,0.6847434980496578,0.06866262294242323,0.16523929882659988,0.5377114206983546,0.30854221944855353,0.7309165416213494,0.32175981111260704,0.09113612010794511,0.2618925278196817,0.09738099113072142,0.42885687097487185
F3,0.8590979148059635,0.8144037227493064,0.6847434980496578,1.0,0.3586215166063832,0.32142161880660636,0.6863588271541383,0.7388964030436687,0.09438178425486285,0.3316875892210307,0.06833144040457972,0.34549621971546646,0.27567610717431584,0.3954189279246395
F4,0.3783086709724041,0.12257500120741291,0.06866262294242323,0.3586215166063832,1.0,0.45962076313356515,0.6666678590232429,0.706074558994154,0.3025550589628147,0.009303919945363216,0.12155552773727396,0.11356174422718171,0.11527100845476845,0.10551213350780278
F8,0.2622164707650749,0.15664317501000047,0.16523929882659988,0.32142161880660636,0.45962076313356515,1.0,0.3612352948093505,0.37037912119174143,0.06463510473980397,0.3481137601147578,0.22938758282581898,0.017545779030402955,0.0687022773150629,0.0068362955266181025
AF4,0.7468529928041943,0.4230356821621696,0.5377114206983546,0.6863588271541383,0.6666678590232429,0.3612352948093505,1.0,0.7278329182301959,0.021735334792430547,0.06902766574626343,0.08107736025761801,0.25316399094498376,0.051498046348921855,0.4836452202218211
FP2,0.8038931295222043,0.6101173122232787,0.30854221944855353,0.7388964030436687,0.706074558994154,0.37037912119174143,0.7278329182301959,1.0,0.22095924819369003,0.20232454959012255,0.22620128850482354,0.32280057048788224,0.2271105560947296,0.40540162482754655
T7,0.21160329819426893,0.3351030474486456,0.7309165416213494,0.09438178425486285,0.3025550589628147,0.06463510473980397,0.021735334792430547,0.22095924819369003,0.9999999999999998,0.28287841749879805,0.25554005957886994,0.16399458355177382,0.3362762252337054,0.2740929024637215
T8,0.2682628838949292,0.4349908513384776,0.32175981111260704,0.3316875892210307,0.009303919945363216,0.3481137601147578,0.06902766574626343,0.20232454959012255,0.28287841749879805,1.0,0.07419908280624787,0.07788078617159032,0.02891334829616729,0.09914871790452803
P7,0.3326958447388353,0.4373142247867965,0.09113612010794511,0.06833144040457972,0.12155552773727396,0.22938758282581898,0.08107736025761801,0.22620128850482354,0.25554005957886994,0.07419908280624787,1.0,0.022198858465049015,0.034304524918461546,0.15346323985809512
P8,0.25234799879592706,0.2691299357847216,0.2618925278196817,0.34549621971546646,0.11356174422718171,0.017545779030402955,0.25316399094498376,0.32280057048788224,0.16399458355177382,0.07788078617159032,0.022198858465049015,0.9999999999999999,0.07433167150369292,0.26818999800631155
P3,0.2018378218677221,0.2612448251808325,0.09738099113072142,0.27567610717431584,0.11527100845476845,0.0687022773150629,0.051498046348921855,0.2271105560947296,0.3362762252337054,0.02891334829616729,0.034304524918461546,0.07433167150369292,0.9999999999999999,0.15884625244848366
P4,0.5956522719679163,0.5256461570282698,0.42885687097487185,0.3954189279246395,0.10551213350780278,0.0068362955266181025,0.4836452202218211,0.40540162482754655,0.2740929024637215,0.09914871790452803,0.15346323985809512,0.26818999800631155,0.15884625244848366,1.0
